kanji,jlpt,onyomi,kunyomi,meanings
樹,N1,ju ジュ,ki き,"timber, trees, wood, establish, set up"
挑,N1,chou チョウ,ido(mu) いど(む),"challenge, contend for, make love to"
誘,N1,yuu ユウ,"saso(u)
izana(u) さそ(う)
いざな(う)","entice, lead, tempt, invite, ask, call for, seduce, allure"
紛,N1,fun フン,"magi(reru)
-magi(re) まぎ(れる)
-まぎ(れ)","distract, be mistaken for, go astray, divert"
至,N1,shi シ,ita(ru) いた(る),"climax, arrive, proceed, reach, attain, result in"
宗,N1,"shuu
sou シュウ
ソウ",mune むね,"religion, sect, denomination, main point, origin, essence"
促,N1,soku ソク,unaga(su) うなが(す),"stimulate, urge, press, demand, incite"
慎,N1,shin シン,"tsutsushi(mu)
tsutsu(mashii)
tsutsushi つつし(む)
つつ(ましい)
つつし","humility, be careful, discreet, prudent"
控,N1,kou コウ,hika(eru) ひか(える),"withdraw, draw in, hold back, refrain from, be moderate"
智,N1,chi チ,,"wisdom, intellect, reason"
握,N1,aku アク,nigi(ru) にぎ(る),"grip, hold, mould sushi, bribe"
宙,N1,chuu チュウ,,"mid-air, air, space, sky, memorization, interval of time"
俊,N1,shun シュン,,"sagacious, genius, excellence"
銭,N1,"sen
zen セン
ゼン","zeni
suki ぜに
すき","coin, .01 yen, money"
渋,N1,"juu
shuu ジュウ
シュウ","shibu
shibu(i) しぶ
しぶ(い)","astringent, hesitate, reluctant, have diarrhea"
銃,N1,juu ジュウ,tsutsu つつ,"gun, arms"
操,N1,"sou
san ソウ
サン","misao
ayatsu(ru) みさお
あやつ(る)","maneuver, manipulate, operate, steer, chastity, virginity, fidelity"
携,N1,kei ケイ,tazusa(eru) たずさ(える),"portable, carry (in hand), armed with, bring along"
診,N1,shin シン,mi(ru) み(る),"checkup, seeing, diagnose, examine"
託,N1,taku タク,"kakotsu(keru)
kako(tsu) かこつ(ける)
かこ(つ)","consign, requesting, entrusting with, pretend, hint"
撮,N1,satsu サツ,"to(ru)
tsuma(mu)
-do(ri) と(る)
つま(む)
-ど(り)","snapshot, take pictures"
誕,N1,tan タン,,"nativity, be born, declension, lie, be arbitrary"
侵,N1,shin シン,oka(su) おか(す),"encroach, invade, raid, trespass, violate"
括,N1,katsu カツ,kuku(ru) くく(る),"fasten, tie up, arrest, constrict"
謝,N1,sha シャ,ayama(ru) あやま(る),"apologize, thank, refuse"
孝,N1,"kou
kyou コウ
キョウ",,"filial piety, child's respect"
駆,N1,ku ク,ka(keru) か(ける),"drive, run, gallop, advance, inspire, impel"
透,N1,tou トウ,"su(ku)
tou(ru) す(く)
とう(る)","transparent, permeate, filter, penetrate"
津,N1,shin シン,tsu つ,"haven, port, harbor, ferry"
壁,N1,heki ヘキ,kabe かべ,"wall, lining (stomach), fence"
稲,N1,"tou
te トウ
テ","ine
ina- いね
いな-",rice plant
仮,N1,"ka
ke カ
ケ","kari
kari- かり
かり-","sham, temporary, interim, assumed (name), informal"
裂,N1,retsu レツ,"sa(ku)
-gi(re) さ(く)
-ぎ(れ)","split, rend, tear"
敏,N1,bin ビン,satoi さとい,"cleverness, agile, alert"
是,N1,"ze
shi ゼ
シ","kore
kono
koko これ
この
ここ","just so, this, right, justice"
排,N1,hai ハイ,,"repudiate, exclude, expel, reject, line up, arrange"
裕,N1,yuu ユウ,,"abundant, rich, fertile"
堅,N1,ken ケン,"kata(i)
-gata(i) かた(い)
-がた(い)","strict, hard, solid, tough, tight, reliable"
訳,N1,yaku ヤク,wake わけ,"translate, reason, circumstance, case"
芝,N1,shi シ,shiba しば,"turf, lawn"
綱,N1,kou コウ,tsuna つな,"hawser, class (genus), rope, cord, cable"
典,N1,"ten
den テン
デン","fumi
nori ふみ
のり","code, ceremony, law, rule"
賀,N1,ga ガ,,"congratulations, joy"
扱,N1,"sou
kyuu ソウ
キュウ","atsuka(i)
ko(ku) あつか(い)
こ(く)","handle, entertain, thresh, strip"
顧,N1,ko コ,kaeri(miru) かえり(みる),"look back, review, examine oneself, turn around"
弘,N1,"kou
gu コウ
グ",hiro(i) ひろ(い),"vast, broad, wide"
看,N1,kan カン,mi(ru) み(る),"watch over, see"
訟,N1,shou ショウ,,"sue, accuse"
戒,N1,kai カイ,imashi(meru) いまし(める),commandment
祉,N1,shi シ,,"welfare, happiness"
誉,N1,yo ヨ,"homa(re)
ho(meru) ほま(れ)
ほ(める)","reputation, praise, honor, glory"
歓,N1,kan カン,yoroko(bu) よろこ(ぶ),"delight, joy"
奏,N1,sou ソウ,kana(deru) かな(でる),"play music, speak to a ruler, complete"
勧,N1,"kan
ken カン
ケン",susu(meru) すす(める),"persuade, recommend, advise, encourage, offer"
騒,N1,sou ソウ,"sawa(gu)
urei さわ(ぐ)
うれい","boisterous, make noise, clamor, disturb, excite"
閥,N1,batsu バツ,,"clique, lineage, pedigree, faction, clan"
甲,N1,"kou
kan コウ
カン",kinoe きのえ,"armor, high (voice), A grade, first class, former, instep, carapace"
縄,N1,jou ジョウ,"nawa
tada(su) なわ
ただ(す)","straw rope, cord"
郷,N1,"kyou
gou キョウ
ゴウ",sato さと,"home town, village, native place, district"
揺,N1,you ヨウ,"yu(reru)
ugo(ku) ゆ(れる)
うご(く)","swing, shake, sway, rock, tremble, vibrate"
免,N1,men メン,"manuka(reru)
manuga(reru) まぬか(れる)
まぬが(れる)","excuse, dismissal"
既,N1,ki キ,sude(ni) すで(に),"previously, already, long ago"
